layer,K,n_prompts,residual_base,residual_candidate,residual_delta,rel_delta_mean,rel_delta_max,rel_delta_min
0,350,400,0.3195,0.3195,0.0,0.0,0.0,0.0
1,350,400,0.5989,0.5989,0.0,0.0,0.0,0.0
2,350,400,0.7303,0.7303,0.0,0.0,0.0,0.0
3,350,400,0.6492,0.6467,-0.0024,0.0487,0.1133,-0.0388
4,350,400,0.7017,0.6972,-0.0044,0.1165,0.2186,0.0199
5,350,400,0.7622,0.7644,0.0022,0.1172,0.3033,-0.0721
6,350,400,0.6709,0.6521,-0.0188,0.1106,0.3477,-0.0603
7,350,400,0.7412,0.7063,-0.0349,0.1328,0.346,-0.1468
8,350,400,0.7445,0.7002,-0.0442,0.0905,0.3604,-0.0897
9,350,400,0.6878,0.5649,-0.1229,0.0904,0.2868,-0.2532
10,350,400,0.6767,0.5642,-0.1124,0.09,0.275,-0.1376
11,350,400,0.6602,0.5472,-0.1129,0.0684,0.2814,-0.3154
12,350,400,0.572,0.4111,-0.1609,0.0382,0.1875,-0.1947
13,350,400,0.5633,0.465,-0.0983,0.0025,0.1776,-0.2368
14,350,400,0.5239,0.4292,-0.0948,-0.0124,0.1099,-0.1513
15,350,400,0.5707,0.5022,-0.0685,-0.0346,0.088,-0.2691
16,350,400,0.5257,0.4488,-0.0769,-0.0207,0.0931,-0.2193
17,350,400,0.5174,0.4205,-0.097,-0.044,0.0905,-0.1651
18,350,400,0.5454,0.4748,-0.0706,-0.0207,0.1072,-0.1238
19,350,400,0.5698,0.5307,-0.0391,-0.0068,0.1317,-0.1911
20,350,400,0.5385,0.4948,-0.0437,0.0025,0.0893,-0.1128
21,350,400,0.4359,0.3879,-0.048,0.0135,0.1475,-0.1026
22,350,400,0.5057,0.4657,-0.04,0.0114,0.0969,-0.0591
23,350,400,0.3934,0.3607,-0.0327,0.0186,0.1474,-0.07
24,350,400,0.313,0.28,-0.033,0.0148,0.1414,-0.1266
25,350,400,0.2061,0.1861,-0.0201,0.0313,0.1948,-0.0575
